Word,Frequency
Terus,38
menghubungi,4
call,4
center,2
"direspon"".",1
ditanya,2
sosialnya,1
puyeng,2
suruh,13
sana,8
sini.,7
Sukses,83
servicenya,6
bug,13
"experience,",1
fatal,2
menyenangkan,35
perbaiki.,4
"Seperti,",1
sub,1
tekan,5
silang,1
tombol,6
"keluar,",2
foto,18
berkesan,1
milik,4
"sangat,",1
asik😁👍,1
menurutku,7
pertimbangkan,2
penerapan,2
StockBit.,1
Akan,5
StockBit..,1
aspek,1
"Reksadana,",21
simple.,5
Go-Pay,1
Istiqomah,3
paksu.,1
Maret,2
2022,5
"gopay,",21
Jago,13
lainnya,26
switch,8
"Reksadana,ubah",1
NAV,1
harusnya,13
Jam,3
15.30,1
ganti,18
terupdate.,1
aturan,1
mainnya.,1
baca,38
ujung²,1
komplain,5
semestinya.,1
pilihannya..,1
"Tetapi,,",1
ya..,31
penurunan,3
performa..,1
Unit,1
Minggu,11
"terakhir,,",1
melewati,2
batas,4
ditentukan,5
menunggu,32
verifikasi...,1
bibit..begitu,1
berhasil..,1
dibenahi,1
kak.,4
Kasih.,3
Pilihan,22
tergolong,6
"sedikit,",6
diberikan,13
bagus-bagus.,1
Robo,36
penempatan,2
automatis.,1
berkelanjutan,5
sahamnya,12
merugikan,5
Yg,91
"mulai,",7
bukan,89
semata,1
yt,5
"dika,",2
dr,70
radit.,1
mencoba..,3
boleh,78
punyaku:,1
sobatzl,1
puas..,1
pilihaninvestasi,1
tiba2,4
"menghilang,",1
dibeli,8
lagi..,16
prospeknya,4
baik..,12
dimunculkan,1
kembali...,1
diperbanyak,17
Syariah...,1
Mantab...👍,1
aolikasi,1
meski,20
Terutama,8
kadang,37
pahadal,1
wifi,5
dati,2
Ntr,2
membaik,9
terasa,9
lag,2
Menarik,12
Luangkan,1
petunjuk.yang,1
"ada,",10
all,15
set😃👍🏽,1
tinggal,70
Asal,5
(ngga,1
peduli,4
nominalnya),1
return-nya,2
Bergantung,1
Hasilnya,2
Merasakan,1
luar,118
biasa,162
mekaksi,1
Jujur,8
aplikadi,3
bahkan,42
kaya,103
permainan,2
tanya,34
gitu.,6
Dulu,11
dspat,2
cadh,1
back,163
"""mnoor""",12
petik,38
"saran,",7
biometrik,4
password,8
dibaca,3
kepo,2
tangan,8
jahil.,1
Tampilan,31
"""updatenya""",1
standby,1
"yah,",5
