Word,Frequency
doang,42
service,8
memberi,9
punn,1
main,33
bibit!!!!!!!,1
Sama,6
kaya,60
nyolong,1
doang!!!!,1
Persyaratan,1
Reactive,1
"ribet,",14
disuruh,45
foto,75
megang,3
tulisa,1
haru,3
ditempat,2
sama.,8
Padahal,88
cuma,192
aktifkan,1
sambil,2
angka.,1
Tolong,169
revisi,6
persyaratan,4
rumit,5
lagian,2
biar,52
dibikin,5
begitu?!!!,1
sebenernya,6
bagus,106
si,41
tapiii,2
nyaa,5
lamaa,6
seharu,1
harii,1
"selesai""",2
verivikasi,14
"ya,",39
min,50
"prosesnya,",5
kasihhh,1
"Kak,",1
mencapai,3
limit,6
Winda,1
0,11
lah,98
"50,000",1
"100,000",1
Registasi,1
ribet,123
kira,13
harus?,1
pelajar,10
gapunya,1
Pake,4
ortu?,1
Suruh,6
fotoin?,1
Belakangan,2
lemot,45
banget.,20
ilang,12
50k,9
jumlah,27
dijualnya,1
sedikit.,4
bukannya,14
buntung,19
cacad...lambat..penarikan,1
kecil,49
selesai,45
juga..apalagi,1
yach...auto,1
nanggggissssss,1
kebuka,20
nya..,13
makin,35
ancur,1
Apasi,1
susah,126
😑,6
Udah,90
Poto,5
Wajah,1
nungu,2
24jam,2
tiga,8
gagal,91
makan,20
semingu,1
d,113
duluan😭😭🤣🤣🤣🤣🤣,1
mengikuti,12
petunjuknya,2
Masi,2
daftar😂,1
Pencairan,146
tenggat,2
waktunya,5
lama.,72
Hadeehh,1
penting.,1
Tp,18
Cs,8
Anda,1
bertele2,1
terkesan,2
ngerjain.,1
Probing,1
"sekalian,",1
arahannya.,1
lampirin,3
tiba2,29
ajuin,2
ulang,39
alasan,45
baju,4
berbeda,13
selfi,10
memegang,1
data.,4
Dan,63
memakai,9
Coba,19
deh,58
history,16
CS,28
anda..,1
perhatikan,2
SOP,1
"Aneh,",1
pasword,2
"benar,",1
"salah,",4
"lebihan,",1
eh,44
"komplikasi,",1
"email,",5
ndk,8
"bisa,",15
"aktif,",3
pusat,2
bantuan,10
jawab,23
"jam,",2
saya...,7
tuntut,2
masuk...,2
sabar,11
"nunggu,",2
balas,9
balas...,2
Malah,16
cmn,15
"qiya,",1
bales,8
lagi....,2
sistemnya,12
witdraw,6
ribey,1
-3,1
"sekali,",24
nggak,56
beda,35
masa,89
sma,9
6,29
yakali,2
dipakai,7
lain!kok,1
dahulu,4
hubungi,13
konfirmasi,16
bahwa,11
nik,5
tsb,4
punya,90
"saya,",32
capil,1
didukcapil,1
dicek,7
berapa,34
kalipun,2
saya!!,1
kocak,3
membantu👎🏻,1
keren,10
atur,3
Mengikuti,2
jebakan,2
batman.,1
Sebenarnya,6
mlah,3
"buntung,",3
penasaran.,2
Lebih,20
baik,58
tabung,6
deposito,12
"saja,",15
bagi,33
meskipun,5
mengalami,7
berulang,6
minus.,3
Taruh,1
juta,30
kepotong,8
kayanya,4
ikutan,10
gini.,7
krn,16
"penasaran,",1
bertahan,2
pd,10
drawdownnya,1
%,3
"hahaha,",1
entahlah,1
penasaran,4
sekali,169
..saya,2
ngejual,10
"95.000,",1
22,6
penjelasan,12
Hebat,2
nih,87
aplikasi..,3
gw,110
lewat,66
kerja..,7
Mantap2,1
salah,50
